列1,列2,列3
82,allow,を許可する，許す
83,quality,質，特性
84,construction,建設，構造，建造物
85,develop,を発達させる，を開発する
86,permission,許可，認可
87,mess,混乱，錯乱
88,convert,を変える，転換する
89,resident,住民，居住者
90,provide,を供給する，提供する
91,metal,金属
92,immediately,即座に
93,predict,を予想する，を予測する
94,religion,宗教，信仰
95,currency,通貨，流通
96,restore,を元に戻す，を修復する
97,accompany,に付き添う，に同行する
98,in detail,詳細に
99,no longer,もはや～でない
100,nevertheless,にも関わらず
101,probably,おそらく
102,in contrast,対照的に，これに対して
103,for instance,例えば
104,additionally,加えて，さらに，追加で
105,anxiety,心配，不安
106,for example,例えば
107,brain,頭脳，脳
108,certain,ある，確信している
109,pain,痛み，苦痛
110,in response to,に応じて，に反応して
111,stare at,をじっと見つめる
112,involve,を含む，を巻き込む
113,at the same time,同時に，一斉に
114,preserved,保存された
115,be known as,として知られている
116,accurate,正確な，的確な
117,analyze,を分析する，分解する
118,a variety of,いろいろな，さまざまな
119,obtain,を手に入れる，を獲得する
120,sympathy,同情，思いやり
121,flexibility,しなやかさ，弾力性，柔軟性
122,approach,に近づく，接近する
123,manage,何とかうまくやる，管理を行う
124,reach out,手を延ばす，手を差し出す
125,for fear of,を恐れて
126,on behalf of,の代わりに
127,on account of,のため
128,artificial,人工的な，人造の
129,prevent A from B,AをBから防ぐ
130,rather than,よりむしろ，ではなくて
131,slightly,わずかに，少し
132,measure,措置，測るもの／を測る
133,be born with,生まれつき，生来の
134,waste,を浪費する／浪費，廃棄物
135,since then,それ以来，それ以降
136,turn A into B,AをBに(質的に)変える
137,fertilizer,肥料
138,made of,で出来ている
139,adopt,を自分のものにする，を取り入れる
140,raise,を上げる，持ち上げる
141,avoid,を避ける，を回避する
142,make sure,を確かめる，必ず手配する
143,participate in,に参加する
144,achieve,を達成する，到達する
145,tolerate,に耐える，寛大に取り扱う
146,journey,旅，旅行
147,get along,うまくやる，仲良くやる
148,keep up with,に遅れず付いていく
149,production,生産，製造
150,cell,細胞
151,such as,のような
152,complete,完全な，全部の
153,annually,毎年の，年一回ずつ
154,psychologist,心理学者
155,invest in,に投資する
156,demand,要求，需要／を要求する
157,respond,反応する，と返答する
158,valuable,貴重な，価値のある
159,witness,目撃者，証人／を目撃する
160,poverty,貧困，貧乏
161,embarrass,を恥ずかしがらせる
162,enlarge,を拡大する
163,ingredient,材料，原料，成分
164,overall,全体的な，全部の
165,spend,を費やす，使う
166,purchase,を購入する／購入
167,brilliant,優れた，光り輝く
168,revolution,革命
169,in charge of,の担当をして
170,previously,以前は，前もって
171,feature,特徴／を目玉とする
172,excuse,言い訳／を許す
173,rely on,に頼る，を当てにする
174,vote for,に賛成する，に投票する
175,decrease,減少する，を減らす／減少
176,frequent,頻繁な，しばしば起こる
177,theory,理論，学説
178,gravity,重力，引力
179,translate,を翻訳する，通訳する
180,equipment,装置，設備
181,rare,まれな，珍しい
182,decide,決心する，解決する
183,bank account,銀行口座
184,amount,量，額
185,constant,絶え間ない，一定の
186,efficient,効率のいい
187,available,利用できる
188,particular,特定の
189,locate,見つける，位置を突きとめる
190,recommendation,推薦
191,apply to,に適用する
192,politely,丁寧に
193,accidentally,誤って，知らずに
194,satisfy,を満足させる
195,appointment,予定，約束
196,chemical,化学物質／化学の
197,attach,を貼り付ける
198,permit,を許可する
199,prevent,を妨げる，予防する
200,increase,を増やす，増大させる
201,luxury,贅沢な／贅沢
202,decade,10年間
203,enormous,非常に大きい
204,replacement,置換
205,in touch,連絡中，連絡が取れて
206,confuse,を混乱させる，区別がつかない
207,produce,を生産する，産出する
208,economy,経済，節約
209,celebrate,祝う，祝福する
210,cope with,に対処する
211,imitate,模倣する，真似る
212,assignment,割り当て
213,certainly,確かに，間違いなく
214,behave,振る舞う
215,instrument,楽器
216,temporary,一時的な
217,capable of,ができる，可能で
218,arrange,整える，を配置する
219,occasion,特定の時，行事，祭典
220,take after,をまねる，に似る
221,guilty of,罪を犯して
222,work out,練習する，運動する
223,promote,を促進する
224,electricity,電力，電気
225,composer,作曲
226,creature,生き物
227,substance,物質，実態
228,graduate,を卒業する
229,furniture,家具
230,medicine,薬
231,at last,ついに，やっと
232,attitude,態度
233,borrow,を借りる
234,sufficient,十分な，足りている
235,hear from,から便りがある，連絡をもらう
236,directly,直接，直接的に
237,historic,由緒のある，歴史に残る
238,barely,かろうじて，やっと
239,delete,を削除する，消す
240,urgent,緊急の
241,generous,気前のよい，寛容な
242,cruel,残酷な，ひどい
243,celebration,お祝い，祝典
244,reflection,反響，反射
245,concept,概念，観念
246,whisper,ささやく，を耳打ちする
247,deposit,お金を預ける，を預金する
248,apology,謝罪
249,deceive,を欺く
250,establish,を設立する，創設する
251,endure,を我慢する，耐える
252,dispose,廃棄
253,statistics,統計
254,compromise,妥協，和解
255,terminal,終りの，末端の
256,formation,形成，構成
257,envelope,封筒
258,quarrel,喧嘩，口論，言い争い
259,handle,を手で扱う，に対処する／取っ手
260,condition,状態，条件
261,punish,を罰する，懲らしめる
262,from time to time,時々
263,in demand,需要のある
264,stand out,目立つ，すぐれている
265,in the meantime,とりあえず，それまでは
266,to some extent,いくらか，ある程度
267,at any cost,どんな犠牲を払っても，何がなんでも
268,on the contrary,その反対で，それどころか
269,lose face,面子を失う，恥をかく
270,answer for,責任を負う，引き受ける
271,insist on,するように強く求める，強調する
272,despite,にも関わらず
273,worth,の価値がある，(～するに)値する
274,not always,必ずしもではない，いつもとは限らない
275,spread,を広げる，広がる
276,at that time,あの時は
277,in common,共通して
278,be affected by,の影響を受ける
279,luckily,幸いなことに，幸運にも
280,not yet,まだ
281,in response,に応じて，に対応して
282,have effects on,に影響を与える
283,taste,味／な味がする
284,in advance,前もって，事前に
285,confident,自信のある
286,one day,ある日，いつか
287,five senses,五感
288,sight,見ること，視力
289,electric,電気の
290,receive,を受理する，受け取る
291,ankle,足首
292,related to,に関連する
293,fear,を恐れる，恐がる／恐れ
294,active,活動的な，活気のある
295,lesser,より少ない，いっそう少ない
296,degree,程度，度
297,effect,効果，影響，結果
298,cause,原因／の原因となる
299,particularly,特に，とりわけ
300,suffer,を患う，苦しむ
301,immune,免疫の，免疫のある
302,disorder,無秩序，混乱
303,mental,精神の，心の
304,physical,身体の，肉体の
305,intend to,するつもりである，する意図がある
306,at present,現在は
307,make a difference,違いを生む
308,opportunity,機会，好機
309,on purpose,故意に，わざと
310,exceptionally,例外的に，非常に
311,almost,ほとんど，たいてい
312,characteristic,特有の，独特の
313,similar to,に似ている
314,as to,に関して
315,civilization,文明
316,represent,を表す，を代表する
317,collapse,崩壊する，つぶれる
318,insult,を侮辱する
319,mixture,混合物
320,isolated,孤立した，隔離された
321,punctual,規則正しい，時間通りの
322,responsible,責任がある，責任が伴う
323,frightened,恐ろしかった
324,guarantee,を保証する／保証
325,blame,を非難する
326,anniversary,～周年，記念日
327,violate,違反する
328,delay,を遅らせる，先延ばしにする
329,surround,を取り囲む，を包囲する
330,immigrate,移住する
331,correct,正確な／を訂正する
332,landscape,風景，眺め
333,instinct,直感，本能，勘
334,policy,政策，方針
335,obviously,明らかに，明白に
336,strangely,不思議なことに，奇妙に
337,chase,を追跡する，追いかける／追跡
338,pour,を注ぐ，激しく降る
339,at one time,一度に
340,all the way,はるばる，わざわざ
341,show up,現れる
342,pull away,引き離す
343,try out,を試す，十分に試してみる
344,break into,に押し入る
345,call it a day,終了する，仕事を切り上げる
346,be awake,目を覚ましている
347,issue,問題，（雑誌などの）号
348,elderly,年配の
349,brightness,輝度，明るさ
350,have an effect on,に影響を及ぼす
351,indoor,室内／屋内の
352,senior,ポストが上の，上級の／年上の人
353,natural,当然の，自然の
354,be adjusted to,に調整する
355,specific,具体的な，特定の
356,heart rate,心拍数
357,be beneficial to,に有益である
358,what is called,いわゆる
359,symmetry,対称，左右対称
360,each other,お互い
361,advantage,有利，利点
362,knee,膝
363,check for,を調べる
364,after all,結局
365,over time,超過勤務，延長時間
366,What is more,さらに，その上
367,for some time,しばらくの間
368,at a time,１度に
369,parking lot,駐車場
370,all around the world,世界中の
371,copyright,著作権
372,charge,非難，料金，管理／に請求する
373,director,監督，指導者，役員
374,in reality,実際に，現実に
375,actually,実際に，現実に
376,compose,を構成する，作曲する
377,greet,を出迎える，に挨拶する
378,depend on,に頼る
379,claim to do,することを主張する
380,agree with,に賛成である
381,it is common to hear,を聞くのが一般的です
382,temple,お寺
383,heritage,遺産
384,abroad,外国で，外国へ
385,population,人口，国民
386,bring,持って来る，連れてくる
387,environmental,環境の
388,throw away,廃棄する
389,garbage,生ゴミ，くず
390,come up with,を思いつく，を考え出す
391,environmentally,環境的に
392,council,議会，会議
393,carry out,を成し遂げる
394,fuel,燃料
395,process,過程／を加工処理する
396,up to,～まで
397,turn into,に変わる
398,cut down on,を切り詰める，節約する
399,fossil fuel,化石燃料
400,ban,を禁止する／禁止
401,plastic bag,ビニール袋
402,harm,害／を害する
403,unbelievable,信じられない
404,innocent,罪のない，無罪の
405,arrogant,傲慢な，横柄な
406,harbor,港
407,temper,気性，かんしゃく
408,legend,伝説，言い伝え
409,fairly,かなり，公平に
410,vague,漠然とした，あいまいな
411,harvest,収穫／を収穫する
412,assistance,支援，手伝い
413,conflict,対立，争い
414,planet,惑星
415,ruin,を台無しにする，破滅する／破滅
416,launch,発売する，船をおろす
417,withdraw,を撤回する，引き下がる/引き出す
418,refuse,を拒否する，拒む
419,embrace,を抱きしめる，を抱擁する
420,overtake,追い越す
421,restrict,を制限する，を限定する
422,instruction,指示，指導
423,stock,株，在庫／を在庫に持つ
424,competitor,競合他社，競争相手
425,spectator,観客，見物人
426,explorer,冒険者，探検家
427,be filled with,で満たされている
428,due to,が原因で
429,remind of,を思い出させる
430,concentrate on,に集中する
431,laugh at,を見て笑う
432,well off,裕福な
433,straight on,まっすぐに
434,far off,はるかかなたの
435,equal,同等，等しい
436,drop off,落ちる，落とす
437,leave out,除外する、取り除く
438,the other,もう一方の
439,solve,を解決する
440,be concerned with,に関係している
441,childhood,子供時代
442,sustainable,存続可能な
443,leftover,残り物，食べ残し
444,at most,多くとも，せいぜい
445,because of,～のために
446,hundreds of,何百もの
447,efficiency,効率，能率
448,arrangement,配置，配列
449,treat,を扱う，待遇する
450,muscle,筋肉
451,aspect,局面，側面，表情
452,content,中身，内容，目次
453,prescription,処方，処方箋
454,anxious,心配して，不安な
455,ancient,古代の，大昔の
456,generously,惜しみなく，気前よく
457,literature,文学
458,do well,うまくやる
459,deadline,締め切り，期限
460,exception,例外
461,temporarily,一時的に，仮に
462,provide A with B,AにBを提供する
463,fund,基金，資金
464,in the long run,長い目で見れば，長期間に
465,accomplish,を成し遂げる，完成する
466,introduce,紹介する
467,overlap,重ねる
468,identify,を見分ける
469,collaboration,共同，共作，協力
470,detective,探偵，刑事
471,democracy,民主主義
472,modify,を変更する，を修正する
473,stir,をかき混ぜる
474,roll,転がる
475,orbit,軌道
476,frequently,頻繁に
477,emotionally,感情的に
478,evaluate,評価する，見積もる
479,defend,を守る，保護する
480,district,地域
481,purpose,目的，目標
482,prayer,祈り，礼拝
483,prospect,見込み，眺め
484,victim,犠牲者
485,distant,遠く離れた
486,various,様々な
487,visible,目に見える
488,wrap,を包む，巻きつける
489,dig,を掘る
490,drop by,ちょっと立ち寄る
491,take over,を引き継ぐ
492,angle,角度
493,payment,支払い
494,look into,を調べる
495,in practice,実際には
496,on schedule,予定通りに
497,once,かつて，1度
498,in fact,実際には
499,publisher,出版社
500,look forward to,～を楽しみにする
501,dizzy,めまいがする，ふらふらする
502,as though,まるで，あたかも
503,be pleased with,を喜ぶ
504,postpone,を延期する
505,justify,正当化する
506,fulfill,満たす
507,influence,影響／影響を及ぼす
508,capacity,容量
509,continent,大陸
510,industry,産業
511,surface,表面，水面
512,doubtfully,疑わしく
513,permanently,恒久的に，永久に
514,sensitive,敏感な
515,peaceful,平和な
516,medical,医学の
517,critics,評論家
518,explorers,探検家
519,obstacle,障害
520,admit,を認める，入ることを許す
521,react,反応する
522,succeed,成功する
523,disappear,消える，見えなくなる
524,take A for granted,Aを当然のことと思う
525,be familiar with,に馴染みがある
526,beyond,～を越えたところに
527,run away,逃げ去る
528,pass out,気絶する
529,think over,熟考する，よく考える
530,put away,片付ける，整理する
531,believe in,を信じる
532,calm down,落ち着く
533,what is worse,さらに悪いことには
534,observe,を観察する
535,participant,参加者
536,react to,に反応する，受け止める
537,at first,最初は
538,tight,狭い，締まった
539,be known for,で知られている
540,social,社会の
541,jealously,嫉妬深く
542,reliable,信頼性のある，あてになる
543,stable,安定した
544,transport,を輸送する
545,in other words,言い換えれば
546,associated with,と関連した，紐づいた
547,to start with,まず第一に，初めに
548,first of all,まず第一に
549,congratulations on,に対するお祝い，祝福
550,precious,貴重な，大切な
551,specialize in,に特化する，専門とする
552,vaccine,ワクチン
553,neverthless,にも関わらず
554,illness,病気
555,for free,無料で
556,checkup,健康診断，照合
557,temperature,温度，気温
558,health insurance,健康保険
559,memory loss,記憶喪失，記憶消失
560,inconvenience,不便，不自由
561,unusually,異常に，めったにないほど
562,take part in,に参加する
563,determine,を決める
564,be considered to,と見なされる
565,amount to,成る，達する
566,in some way,何らかの方法で
567,be connected to,に接続する
568,be involved in,に関与する
569,genetically,遺伝的に
570,diet,食事，食事療法
571,be made from,から作られる，を原料とする
572,major,専攻科目
573,sign,標識，印，合図
574,be threatened to,に脅かされる
575,progress,進歩，前進
576,with luck,運が良ければ
577,offensive,攻撃的な，無礼な
578,abrupt,突然の，不意の
579,familiar,見慣れた，よく知られた
580,distributor,卸売業者
581,publicity,宣伝，周知のこと
582,separation,分離
583,reuse,を再利用する，再使用する
584,strike,叩く，打つ
585,protest,抗議する，主張する
586,illustrate,を説明する，を例示する
587,voluntarily,自発的に，自ら進んで
588,consciously,意識的に，故意に
589,approximately,約，おおよそ
590,peacefully,平和的に，穏やかに
591,burden,負担，重荷
592,whistle,口笛を吹く
593,voyage,航海，航行
594,envy,妬み，羨望
595,exaggerate,を誇張する，大げさに言う
596,refer to,を参照する，参考にする
597,speaking of,と言えば
598,wait for,を待つ
599,in trouble,困った状況にある
600,at best,せいぜい，良くとも
601,except for,を除いては
602,matter,問題，困ったこと
603,in effect,効果のある，効いている
604,in fashion,流行っている，流行している
605,on demand,要求に応じて
606,individual,個人の，個々の
607,as well,同様に，その上
608,transportation,交通，輸送
609,in general,一般的に，普通
610,smell,においがする
611,recognize,承認する，はっきりと知る
612,get rid of,を取り除く
613,treatment,扱い，処理
614,expired,期限切れの，契約の切れた
615,fee,料金，手数料
616,current,現在の，現行の
617,renew,を更新する，新しくする
618,from now on,これから先も
619,attach to,に添える，に取り付ける
620,fill out,書き込む
621,unexpected,意外な，突然の
622,economic,経済の
623,breath,息，呼吸
624,carbon dioxide,二酸化炭素
625,humidity,湿度，湿気
626,on duty,勤務時間中で，当番の
627,in case,万一に備えて
628,gradually,次第に，だんだんに
629,ceiling,天井
630,out of use,すたれて，使用できない
631,sculpture,彫刻
632,exact,ちょうど，正確な
633,between A and B,AとBの間
634,produce,生産する，作り出す
635,even though,～だけれども，～であるのに
636,warm,暖かい，温暖な
637,inside,中身，内部
638,ill,病気で，気分の悪い
639,out of place,場違いで
640,research,研究／研究する
641,relative,相対的な，比較上の，親戚
642,poison,毒
643,completely,完全に，全く
644,be effective at,で効果的である
645,absorb,を吸収する
646,feed,餌を与える，育てる
647,effective,効果的な
648,container,容器
649,thanks to,のおかげで
650,on the run,逃げて，奔走して
651,dedicate,に専念する，奉納する
652,abandon,を捨て去る
653,amuse,楽しませる
654,range,範囲，幅
655,sphere,球，球体
656,revenge,に復讐する/復讐
657,popularity,人気，流行
658,suspicious,疑わしい，怪しい
659,delicate,繊細な，きめ細かい
660,welfare,福祉，幸福
661,border,国境
662,habit,習慣
663,interrupt,割り込む，中断する
664,persuade,を説得する
665,examine,を検査する
666,leisurely,のんびりした，気の長い
667,bravely,勇敢に，りっぱに
668,relatively,比較的
669,substitute,代わりに用いる／代用品
670,peel,皮
671,hospitality,おもてなし
672,tragedy,悲劇
673,struggle with,と闘う，に苦戦する
674,instruct,指示する，教える
675,gather,を集める
676,get used to,慣れる
677,out of date,時代遅れの
678,in tough,に強い
679,under way,進行中で
680,come into being,生まれ出る，生ずる
681,in need of,を必要として
682,be aware of,に気づいている
683,at a loss,途方に暮れて
684,within reach,届く範囲で
685,on average,平均して
686,in a row,一列に，連続的に
687,appear,現れる
688,hesitate,ためらう
689,be short of,が不足する
690,play a role in,において役割を果たす
691,alternative,代替物，代案
692,depression,落ち込み，不景気
693,large amount of,大量の，たくさんの
694,rug,じゅうたん，敷き物
695,invent,を発明する
696,encourage,を勇気づける，励ます
697,rarely,めったに～ない
698,digest,要約／消化する
699,focus on,に焦点を合わせる
700,be concerned about,について気をかける
701,vocabulary,単語，語彙
702,complex,複雑な，複合の
703,strengthen,強化する
704,similarly,同様に
705,ignorance,無知
706,opposite,反対の，向こう側の
707,pronunciation,発音
708,invention,発明
709,reverse,反対の，裏側の
710,commute,通勤する，取り替える
711,appeal,訴える，告発する
712,qualify,に資格を与える
713,incident,出来事，事件
714,market,市場
715,maximum,最大，最大の
716,yell,大声で叫ぶ
717,sneeze,くしゃみ
718,wipe,を拭く
719,twist,ねじれ，より合わせる
720,civilize,文明化する
721,murder,殺人
722,impose,を課す，負わせる
723,parliament,議会，国会
724,nursery school,保育園
725,glance,一目見る／一目
726,aid,援助／助ける
727,force,力，勢い
728,role,役割
729,acquaint,知人／に知らせる
730,superior,より優れた
731,knowledge,知識
732,mindful,気をつけて
733,stand still,停止，休止，行き詰まり
734,appearance,出現，外見
735,incredible,信じられない
736,in terms of,に関して，の点から
737,article,記事
738,for sure,確かに，間違いなく
739,ancestor,祖先，先祖
740,in time,丁度よい時に，丁度間に合って
741,bend,曲げる
742,occur,発生する，起こる
743,objection,異議，反対
744,lazy,怠け者の
745,outstanding,並外れた，目立った
746,construct,を組み立てる，建設する
747,adequate,適切で，十分な
748,instead of,の代わりに
749,mildly,穏やかに
750,scar,傷跡
751,hesitantly,躊躇して，もじもじして
752,wealthy,裕福な
753,give out,配布する，発表する
754,forget,を忘れる
755,stranger,他人
756,prove,を証明する
757,insurance,保険
758,generation,世代
759,take down,降ろす，書き取る
760,conclude,を締めくくる，終える
761,violence,暴力，乱暴
762,irritate,イライラさせる
763,put together,まとめる，一緒にする
764,account for,を説明する
765,tourism,観光
766,commit,専念，ゆだねる
767,put off,延期する
768,maintain,を維持する
769,favor,親切な行為
770,relevant to,に関連して
771,differ,異なる
772,keep up,保持する，維持する
773,look over,見渡す
774,though,だけれども
775,limb,手足
776,eventually,結局は，やがて
777,suggest,を提案する
778,entitle to,に資格を与える
779,capture,を捕まえる
780,psychology,心理学
781,export,を輸出する
782,spill,をこぼす
783,identity,同一性
784,participate,参加する
785,cough,咳払いする/咳
786,include,を含む
787,sincerely,心から，真心こめて
788,absorb in,吸収する，没頭する
789,improvement,改善，改良
790,crime,犯罪
791,spiritually,精神的に
792,proposal,提案
793,confess,を打ち明ける，白状する
794,credit,信用
795,reservation,予約
796,translation,翻訳
797,disadvantage,不利益，不利な立場
798,objectively,客観的に
799,consumption,消費，消費高
800,innocently,無邪気に
801,researcher,研究者，調査員
802,location,位置，場所
803,oxygen,酸素
804,do away with,廃止する
805,take care,注意する
806,neglect,を無視する，放っておく
807,be obliged to,義務付けられる，やむを得ずする
808,survive,生き残る
809,desert,砂漠
810,donation,寄贈，寄付
811,exhibit,示す，表す
812,principal,主要な
813,product,製品
814,in short,要するに
815,formal,形式の，形式的な
816,persuasion,説得
817,huge,巨大な，莫大な
818,migrate,移行する，移住する
819,logical,論理的な，論理上の
820,get away with,を持ち逃げする
821,interpret,を解釈する，受け取る
822,accuracy,正確さ，精密
823,contribution,寄付，貢献
824,climb,登る
825,stand up,立つ
826,preserve,保存／を保存する
827,laundry,洗濯物，クリーニング店
828,deal,を扱う，分配する
829,complain of,の不満を漏らす，について苦情を言う
830,intensive,集中的な，強調の
831,look through,をひと通り調べる，を見抜く
832,budget,予算，経費
833,mummy,ミイラ
834,dizziness,めまい
835,occasionally,時折，たまに
836,audience,聴衆，観客
837,liquid,液体
838,combine,を結合させる，合同する
839,imply,をほのめかす
840,applause,拍手かっさい，称賛
841,ridiculous,ばかげている
842,ignore,を無視する
843,mammal,哺乳類
844,indeed,実に，全く
845,blame for,の責任を問う，を責める
846,fossil,化石
847,obvious,明白な
848,precise,正確な，的確な
849,see in,案内して部屋に入れる，迎える
850,happen,起こる，発生する
851,argument,議論，口論
852,visually,視覚的に
853,terribly,ひどく，ものすごく
854,go after,を追いかける
855,by nature,本来，生来
856,direction,方向，方角
857,differ from,とは違って，との違い
858,astonish,ひどく驚かす，驚かせる
859,divide,を分割する，分ける
860,at least,少なくとも
861,distract,気を散らす，気をそらす
862,describe,を述べる，描写する
863,in place,決まった場所に，適切で
864,opinion,意見，考え
865,finally,ついに，やっと
866,frown,しかめっ面
867,culture,文化，教養
868,overcome,を克服する
869,figure,形，姿
870,inspire,鼓舞する
871,prize,賞
872,accomplishment,完成，成果
873,suburb,郊外
874,drag,引っ張る，引きずる
875,mineral,無機物
876,escape,逃れる，脱走する
877,come out,出てくる，世に出る
878,tremble,震える
879,stay up,(夜遅くまで)起きている
880,genuine,本物の，純粋な
881,come across,を横切る，出くわす
882,needlessly,不必要に
883,in exchange,と引き換えに
884,during,～の間，～の間ずっと
885,island,島
886,property,財産，所有物
887,deaf,耳が不自由な
888,masterpiece,傑作，名作
889,bound for,行きの，方向の
890,in stock,在庫あり
891,admission,入場，入場料
892,retire,退職する，引退する
893,deliver,配達する
894,draw,描く，引っ張る
895,factory,工場
896,create,創造する，考案する
897,rather,むしろ，どちらかといえば
898,threat,脅威
899,tropical,熱帯の
900,act on,を決定する，決議する
901,vital,極めて重要な，生命の
902,agricultural,農業の
903,altogether,完全に，まったく
904,quantity,量
905,male,男性，雄
906,by means of,によって，を用いて
907,insist,強く主張する
908,hesitation,ためらい，躊躇
909,persist in,固執する，やり通す
910,conversation,会話
911,ordinary,ふつうの，いつもの
912,in vain,無駄に，軽々しく
913,catch up with,に追いつく
914,off duty,非番の、勤務時間外で
915,live on,生き続ける
916,illustration,図解，実例
917,expensive,高価な，費用のかかる
918,expect,予期する，予想する
919,concentration,集中，専念
920,thermometer,温度計
921,advertisement,広告，宣伝
922,debt,借金，負債
923,pull down,引き下げる，取り壊す
924,investigate,調査する，研究する
925,description,説明書，記述
926,as follows,次のとおり
927,bother,面倒／迷惑をかける
928,punishment,罰，罰則
929,propose,を提案する，申し出る
930,flame,火炎，炎
931,ambulance,救急車
932,intense,激しい，熱心な
933,impossible,不可能な
934,be accustomed to,に慣れている
935,curiosity,好奇心
936,organization,組織，団体，協会
937,in danger of,の危険にさらされている
938,in turn,順番に
939,worthy of,ふさわしくて，に値して
940,look up to,を尊敬する
941,add to,付け加える，増やす
942,submit,を提出する，に服従する
943,immigration,移住，入国管理
944,convince,を納得させる
945,declare,を宣言する，公表する
946,vain,うぬぼれの強い
947,resource,資源，資産
948,domestic,国内の，家庭の
949,make up,用意する，片付ける
950,affection,愛情，好意
951,recent,最近の，新しい
952,discovery,発見
953,by heart,体で覚えて
954,stimulate,を刺激する，元気づける
955,college,大学
956,academically,学問的に
957,grass,草
958,praise,をほめる／賞賛
959,dentist,歯医者
960,truly,真に，正確に
961,cling,くっつく
962,clip,切る，切り取る／クリップ
963,reaction,反応
964,conventional,従来の
965,relieve,和らげる，軽減する
966,seek,求める，捜し出す
967,forever,永遠に
968,intervention,介在，仲裁
969,historian,歴史家
970,whether,どちらか
971,ethnic,民族の，民族特有の
972,swear,誓う
973,responsibility,責任
974,opponent,相手
975,blow,吹く
976,history,歴史
977,society,社会
978,mature,成熟した
979,democratic,民主主義の
980,manager,部長，支配人
981,definition,定義
982,abstract,抽象的な
983,recover,回復する
984,notion,考え，意見
985,reject,拒絶する，断る
986,chamber,小部屋
987,desire,願望／切望する
988,distinguish,を区別する
989,warn,警告する
990,excess,過剰，超過
991,numerous,多数の
992,harmony,調和
993,fail,失敗する
994,gentle,穏やかな，物柔らかな
995,enforcement,執行，実施
996,trait,特性，特色
997,deficit,赤字
998,source,情報源，原因
999,representative,代表者，代理人
1000,commitment,約束，委託
1001,worry,心配させる，心配する
1002,bitter,苦い
1003,assess,評価する
1004,prosecution,起訴，告訴
1005,discussion,議論，討論
1006,drift,漂流
1007,troop,群れ
1008,crack,裂け目，ひび
1009,output,生産量
1010,relation,関係性
1011,law,法律
1012,share,分かち合う／分け前
1013,assist,手伝う，促進する
1014,later,後に
1015,resolution,解決，決意
1016,welcome,歓迎される
1017,ensure,を確実にする，を保証する
1018,classical,古典の
1019,merely,単に
1020,according,による，準じて
1021,occupation,職業
1022,proportion,比率，割合
1023,anger,怒り
1024,delivery,配達
1025,annoy,いらだたせる
1026,civilian,民間人，一般市民
1027,craft,工芸，技能
1028,appreciate,感謝する，を高く評価する
1029,corridor,廊下
1030,plenty,たくさん
1031,virtue,徳
1032,pleasure,楽しみ，喜び
1033,bored,退屈した
1034,behavior,振る舞い，態度
1035,conscious,意識して
1036,objective,目標，目的地
1037,education,教育
1038,regional,地方の
1039,controversial,議論の的になる，論争上の
1040,investigator,捜査官
1041,slide,滑る
1042,seat,を着席させる／座席
1043,tap,軽くたたく
1044,manner,やり方，方法
1045,therapy,治療
1046,compete,競争する
1047,representation,表現
1048,tear,を引き裂く
