word,meaning,example,translation
comrade,（音楽を共にした）仲間,He fought alongside his comrades for a common cause.,彼は共通の目的のために仲間たちと共に戦った。
partition,（部屋などの）仕切り、パーティション,We used a thin partition to create a new office space.,我々は新しいオフィススペースを作るために薄い仕切りを使った。
slant,傾く；名 傾斜、傾き,The floor of the old house began to slant slightly.,その古い家の床はわずかに傾き始めた。
curb,〜を抑制する、制限する；名 （歩道の）縁石,New laws were introduced to curb air pollution from factories.,工場からの大気汚染を抑制するために新しい法律が導入された。
deformity,変形、奇形,The disease can cause a slight deformity of the bones.,その病気は骨にわずかな変形を引き起こすことがある。
crouch,しゃがむ、かがむ,The photographer had to crouch down to get a better angle.,写真家はより良いアングルを得るために、かがまなければならなかった。
immeasurable,計り知れない,The support from my family has been of immeasurable value.,私の家族からの支援は、計り知れない価値があった。
agitate,（人）を動揺させる、（気持ちなど）をかき乱す 世論に訴える、扇動する,His calm response did not agitate the angry crowd.,彼の冷静な対応は、怒った群衆を動揺させなかった。
recede,後退する、遠ざかる,"As the tide began to recede, we could walk on the beach.",潮が引き始めたので、私たちは浜辺を歩くことができた。
crisp,（食べ物が）ぱりぱりした、かりっとした,I love the crisp sound of walking on autumn leaves.,私は秋の落ち葉の上を歩くときのパリパリという音が大好きです。
frantic,（心配・恐怖などで）取り乱した,The frantic mother was searching for her lost child in the park.,取り乱した母親は、公園で迷子になった自分の子供を探していた。
editorial,（新聞の）社説；形 編集の,Today's editorial argues for stricter environmental regulations.,今日の社説は、より厳しい環境規制を主張している。
execute,〜を実行する 〜を処刑する,The team needs a clear plan to execute the project successfully.,そのチームがプロジェクトを成功裏に実行するには、明確な計画が必要だ。
pinpoint,（原因など）を特定する （位置など）を正確に示す,It's difficult to pinpoint the exact cause of climate change.,気候変動の正確な原因を特定するのは難しい。
adorable,とてもかわいい、愛らしい,The puppy we saw at the pet shop was absolutely adorable.,私たちがペットショップで見た子犬は、本当にかわいらしかった。
deflect,〜をそらす、かわす,The politician tried to deflect the journalist's difficult questions.,その政治家はジャーナリストの難しい質問をかわそうとした。
crude,雑な、大雑把な,"His first drawing was a crude sketch, but it showed potential.",彼の最初の絵は大雑把なスケッチだったが、可能性を示していた。
intersect,交差する、交わる,This is the point where the two main streets intersect.,ここが2つの大通りが交差する地点です。
dazed,（ショックなどで）ぼう然とした,"Dazed by the news, he just sat there without saying anything.",その知らせにぼう然として、彼は何も言わずにただそこに座っていた。
console,〜を慰める、元気づける,She tried to console her friend who had failed the exam.,彼女は試験に落ちた友人を慰めようとした。
spiteful,意地の悪い、悪意のある,It was spiteful of him to spread such a false rumor.,そのような嘘の噂を広めるなんて、彼は意地が悪かった。
sanction,制裁（措置） （公式な）認可、承認,The UN imposed economic sanctions on the country.,国連はその国に経済制裁を課した。
influx,（人・金・ものなどの）到来、殺到、流入,The city is preparing for a large influx of tourists.,その市は多くの観光客の流入に備えている。
scrap,（計画・制度など）を取りやめる、中止する （機械など）をスクラップにする；名 切れ端、断片,The plan was scrapped because it was too expensive to implement.,その計画は実行するには費用がかかりすぎるため、中止された。
ditch,溝、用水路,A small ditch runs along the side of the country road.,田舎道の脇には小さな溝が流れている。
relay,（情報・連絡など）を伝達する；名 （仕事の）交代要員,Please relay this important message to your team members.,この重要な伝言をあなたのチームのメンバーに伝えてください。
illogical,非論理的な、筋の通らない,Your argument is illogical because it is not based on facts.,あなたの主張は事実に基づいていないので、非論理的です。
discharge,〜を解放する （ガス・液体など）を放出する,The factory illegally discharged chemical waste into the river.,その工場は川に化学廃棄物を不法に放出した。
charm,〜をとりこにする、操る 〜を魅了する；名 魅力 まじない,The small village has a unique charm that attracts many visitors.,その小さな村には、多くの観光客を惹きつける独特の魅力がある。
hinge,ちょうつがい,The old door creaked loudly on its rusty hinge.,その古いドアは、さびた蝶番で大きなきしみ音を立てた。
supreme,（程度・重要度などが）最高の （地位・権力などが）最高の、最高位の,The Supreme Court made a final decision on the case.,最高裁判所がその事件に関する最終決定を下した。
invisible,見えない,Bacteria are invisible to the naked eye.,バクテリアは肉眼では見えない。
spark,火花、きらめき；動 〜の火つけ役となる、〜を刺激する,Her speech sparked a nationwide debate on the issue.,彼女の演説は、その問題に関する全国的な議論の火付け役となった。
analogy,類似点、共通点 類推,He explained the concept using an analogy with a computer.,彼はコンピューターとの類推を用いてその概念を説明した。
gradation,段階的推移、グラデーション,We observed a beautiful gradation of colors in the sunset.,私たちは日没の空に見られる美しい色のグラデーションを観察した。
superficial,表面の、表面的な,His understanding of the complex issue seemed quite superficial.,その複雑な問題に対する彼の理解は、かなり表面的なものに思えた。
bearable,耐えられる,This medicine will make the pain more bearable for you.,この薬はあなたの痛みをより耐えられるものにしてくれるでしょう。
sinister,邪悪な、悪意のある 不吉な,"There was a sinister silence in the dark, empty forest.",その暗く、誰もいない森には不吉な静けさがあった。
lean,やせた、引き締まった,The runner has a very lean and muscular body.,そのランナーはとても引き締まった筋肉質の体をしている。
glorify,〜を美化する、（実際以上に）よく見せる 〜を賛美する,Some movies are criticized because they tend to glorify violence.,一部の映画は暴力を美化する傾向があるため批判される。
breadth,（知識などの）幅広さ 幅,The professor is respected for the breadth of her knowledge.,その教授は知識の幅広さで尊敬されている。
chaotic,混沌とした、無秩序な,The traffic situation in the city center was completely chaotic.,都心部の交通状況は完全に混沌としていた。
dutiful,まじめな、忠実な,He is a dutiful son who takes good care of his parents.,彼は両親の面倒をよくみる、まじめな息子だ。
sincerity,誠実さ、正直さ,What I appreciate most about him is his sincerity.,私が彼について最も評価しているのは、その誠実さだ。
restless,落ち着かない、そわそわした,"Feeling restless, she walked around the room waiting for the news.",落ち着かなかったので、彼女は知らせを待ちながら部屋を歩き回った。
stack,〜を（整然と）積み重ねる；名 山、積み重ねたもの,Could you please stack these boxes in the corner?,これらの箱を隅に積み重ねていただけますか。
shred,〜を切り刻む；名 （細長い）切れ端、断片,You should shred any documents that contain personal information.,個人情報を含む書類はすべてシュレッダーにかけるべきだ。
dimension,局面、側面 大きさ、寸法,This problem has an important social and cultural dimension.,この問題には、重要な社会的・文化的側面がある。
aimlessly,目的もなく、あてどなく,He wandered aimlessly through the park with no destination.,彼は目的地もなく、あてどなく公園をさまよった。
rejoice,喜ぶ、歓喜する,The whole team rejoiced when they won the championship.,チーム全員が、選手権で優勝したときに大いに喜んだ。
wrinkle,（皮膚・布地などの）しわ,"If you iron this shirt, the wrinkle will disappear.",このシャツにアイロンをかければ、しわはなくなるだろう。
despise,〜を嫌悪する、軽蔑する,I despise people who are dishonest with their friends.,私は友人に対して不誠実な人々を軽蔑する。
exterminate,（種族・動物など）を皆殺しにする、根絶する,Farmers try to exterminate pests that damage their crops.,農家は作物に被害を与える害虫を根絶しようと努めている。
choke,窒息する、むせる 〜を窒息させる,Be careful not to choke on that large piece of meat.,その大きな肉で窒息しないように気をつけてください。
splinter,（木・ガラス・金属などの）とげ、破片；動 砕ける、裂ける,I got a painful splinter in my finger from the wooden desk.,木の机で指に痛いとげが刺さってしまった。
immense,広大な、巨大な,The project required an immense amount of time and effort.,そのプロジェクトは、膨大な量の時間と労力を必要とした。
glossy,光沢のある,She bought a magazine with a glossy cover and beautiful pictures.,彼女は光沢のある表紙と美しい写真の雑誌を買った。
brace,身構える、準備する 〜を支える、補強する,We must brace ourselves for the possibility of a difficult winter.,私たちは厳しい冬になる可能性に備えなければならない。
blast,爆発、爆風 突風；動 〜を爆破する,The windows were shattered by the powerful blast from the explosion.,窓は爆発による強力な爆風で粉々になった。
mellow,（ワイン・チーズなどが）熟成した （光・色・音楽などが）柔らかく心地よい,The mellow sunlight in the evening makes me feel relaxed.,夕方の柔らかな日差しは、私をリラックスさせてくれる。
liable,（法的に）責任がある、義務がある 【be liable to do】〜しがちだ,"Without enough sleep, you are liable to make careless mistakes.",睡眠不足だと、不注意なミスをしがちだ。
inclination,好み、傾向,He has a strong inclination to help people who are in need.,彼には、困っている人々を助けたいという強い傾向がある。
redeem,（失敗・弱点など）を補う （引換券）を現金［商品］に換える,You can redeem this coupon for a free drink at the cafe.,このクーポンをそのカフェで無料の飲み物と交換できます。
