word,meaning
stationary,（乗り物・人などが）静止した、動かない
repeal,（法律など）を廃止する、撤廃する
disprove,（理論など）の誤りを証明する
utensil,（特に台所の）用具、器具
adrift,漂流して、さまよって
instigate,（公的な活動など）を始める；～を引き起こす ～を扇動する
thrust,～をぐっと押す、（手など）を突っ込む
ignorance,無知、無学
customary,習慣的な、慣習になっている
blink,まばたきをする
hereditary,遺伝性の 世襲の
solemn,（儀式などが）厳粛な、厳かな （人が）まじめな、真剣な
swarm,（昆虫・動物などの）群れ
unperturbed,取り乱さない、冷静な
phase,（発達・変化などの）段階、局面
tumble,転ぶ、倒れる
initiative,自発性；主導権 新提案；構想
soothe,（人など）をなだめる、落ち着かせる （痛みなど）を和らげる、楽にする
crest,尾根、波がしら
torment,～を苦しめる、悩ませる
revoke,（免許・法律など）を無効にする、廃止する
assimilate,同化する、溶け込む （考え・知識など）を吸収する、自分のものにする （食べ物など）を消化［吸収］する
