word,meaning,example,translation
round up,〈人・動物たち〉を駆り集める、〈集団〉を検挙する,The farmer rounded up the sheep before the storm came.,農夫は嵐が来る前に羊を駆り集めた。
see through ～,〈うそなど〉を見抜く、～を透かして見る,She could easily see through his lies because he looked nervous.,彼は緊張しているように見えたので、彼女は簡単に彼のうそを見抜くことができた。
map out,〈計画〉を立てる、～を綿密に計画する,We need to map out our travel plans for the summer.,私たちは夏の旅行計画を綿密に立てる必要がある。
bring out,〈才能・特徴など〉を引き出す、～を持ち出す、取り出す、〈本・商品など〉を新しく出す,A good teacher can bring out the best in every student.,良い教師は、すべての生徒の最高の能力を引き出すことができる。
feel for ～,〈人〉に同情する、〈人〉を気の毒に思う,I really feel for the people who lost their homes in the earthquake.,地震で家を失った人々を本当に気の毒に思う。
pile in,どやどやと中に入る,As soon as the bus doors opened,everyone piled in.
wrap up,(仕事・議論など)を終える、やり遂げる(≒finish),Let's wrap up this meeting and go for lunch.,この会議を終えて、昼食に行きましょう。
pass off,(偽物)をつかませる,He tried to pass off the fake watch as a real one.,彼はその偽物の腕時計を本物だと偽ってつかませようとした。
take in,～を見に行く、見物する、(人)をだます、(食べ物・水・栄養など)を摂取する,I was completely taken in by his convincing story.,私は彼の説得力のある話に完全にだまされた。
leave off,やめる、中断する,Let's continue our discussion where we left off yesterday.,昨日中断したところから議論を続けましょう。
jump at ～,(チャンスなど)に飛びつく,She jumped at the chance to study abroad for a year.,彼女は1年間留学するチャンスに飛びついた。
kick off,～を始める；始まる,The music festival will kick off with a famous band.,その音楽祭は有名バンドで始まる予定です。
grow out of ～,成長して〈癖・興味〉がなくなる、～から発展して生じる,My son has grown out of his habit of biting his nails.,私の息子は成長して爪を噛む癖がなくなった。
dish out,～を（よく考えずに）配る、与える,He is always dishing out advice that nobody asked for.,彼は誰も頼んでいないアドバイスをいつも振りまいている。
cut back on ～,～を削減する、減らす,We should cut back on using plastic bags to protect the environment.,環境を守るために、私たちはビニール袋の使用を減らすべきだ。
make up for ～,～を補う、つぐなう(≒compensate for ～),I studied hard to make up for the time I had wasted.,私は無駄にした時間を取り戻すために一生懸命勉強した。
go over ～,～を復習する、見直す、～を検討する、詳しく調べる,Let's go over the main points again before the presentation begins.,プレゼンテーションが始まる前に、もう一度要点を見直しましょう。
give away,〈秘密など〉をもらす、暴露する(≒reveal)、～を（～に）ただでやる,Please don't give away the surprise I've planned for her.,私が彼女のために計画したサプライズを漏らさないでください。
keep up,（周りに）遅れずについていく、〈物事〉をやり続ける、頑張り続ける,It is hard to keep up with all the latest technology.,あらゆる最新技術に遅れずについていくのは難しい。
come along,はかどる、進展する、一緒に来る、やって来る、現れる,How is your science project coming along?,あなたの科学のプロジェクトはどのくらい進んでいますか？
add up to ～,結局～ということになる、合計～になる,All these small mistakes add up to a big problem in the end.,これらの小さなミスがすべて、最終的には大きな問題になる。
point to ～,～を示す、表す、～を指摘する、～に言及する,The data clearly points to the fact that our climate is changing.,そのデータは、私たちの気候が変動しているという事実を明確に示している。
settle down,落ち着く、収まる、落ち着く,After traveling for years,he decided to settle down.
dry up,尽きる、枯渇する、干上がる,If we don't save water,our resources will dry up.
straighten out,収拾する、解決する,We need to straighten out this misunderstanding as soon as possible.,私たちはこの誤解をできるだけ早く解決する必要がある。
set aside,取っておく、別にしておく、脇に置く,She sets aside some time each day for reading.,彼女は毎日、読書のためにいくらか時間を取っておく。
turn in,寝る、〈書類など〉を提出する(≒hand in),Please turn in your assignments by the deadline.,締め切りまでに課題を提出してください。
hang onto ～,～を（手放さずに）持ち続ける、～に執着する,"Though it's old, I'll hang onto this watch my grandfather gave me.",古いけれど、祖父がくれたこの時計はずっと持っていようと思う。
tear down,〈建物など〉を取り壊す(≒demolish),The old building was torn down to build a new library.,その古い建物は新しい図書館を建てるために取り壊された。
shape up,きちんと振る舞う、(仕事・勉強を)頑張る,If you don't shape up,you might fail the course.
set out to do,～し始める、～することに着手する,The team set out to develop a new eco-friendly car.,そのチームは新しい環境に優しい車を開発し始めた。
cover up,〈事実・失敗・本心など〉を隠す、身を包む、服を着る,The company tried to cover up its serious mistake from the public.,その会社は自社の重大なミスを世間から隠そうとした。
turn away,(満員などの理由で)〈人〉を中に入れない；〈人〉を追い払う、〈人〉の目を背けさせる,Many fans were turned away because the concert was completely full.,コンサートが満員だったため、多くのファンが中に入れなかった。
put in,(設備など)を備えつける、(時間)を費やす,We have put in a new air conditioner to save energy.,私たちは省エネのために新しいエアコンを設置した。
get into ～,～に興味を持つ、はまる、～の中に入る、(よくない事柄)に巻き込まれる,I recently got into photography,which is a very creative hobby.
act on ～,～に基づいて行動する,The government should act on the advice given by the scientists.,政府は科学者たちによって与えられた助言に基づいて行動すべきだ。
kick back,リラックスする、休憩する、(もらった金の一部)をリベートとして返す,After a long week of work,I just want to kick back.
stem from ～,～に由来する,Many social problems stem from a lack of communication between people.,多くの社会問題は人々の間のコミュニケーション不足に起因する。
stir up,(故意に)〈論争・もめ事〉を引き起こす、〈感情〉をかき立てる,His controversial comments have stirred up a lot of debate on social media.,彼の物議を醸すコメントは、ソーシャルメディア上で多くの議論を巻き起こした。
push for ～,～を強く求める,Environmental groups are pushing for stronger regulations on plastic waste.,環境団体はプラスチックごみに対するより厳しい規制を強く求めている。
carry away,[get carried away]夢中になる、興奮する(≒lose control)、～を運び去る、取り除く,Don't get carried away and spend too much money at the sale.,夢中になってセールでたくさんお金を使いすぎないように。
throw up,吐く、嘔吐する(≒vomit),I ate something bad and felt like I was going to throw up.,何か悪いものを食べて、吐きそうな気分になった。
set down,(考え・経験など)を書き留める(≒write down),It is important to set down your thoughts clearly in the essay.,エッセイでは自分の考えを明確に書き留めることが重要だ。
endear A to B,AをBに好かれるようにする,Her kindness and positive attitude endear her to everyone she meets.,彼女の優しさと前向きな態度は、会う人みんなに彼女を好かれるようにする。
pull over,車を端に寄せて止める,The police officer asked the driver to pull over to the side.,警察官は運転手に車を路肩に寄せて止めるよう求めた。
live on ～,(一定の金額)で暮らしを立てる、～を常食とする,If I were a student,I would have to live on a tight budget.
drag out,～をだらだらと長引かせる、～を引きずり出す,We shouldn't drag out the meeting; let's make a decision quickly.,会議を長引かせるべきではない。素早く決定を下そう。
come down to ～,〈問題・困難などが〉～に帰着する、集約される,In the end,the problem comes down to a lack of funding.
blow up,かんしゃくを爆発させる、〈爆弾・建物・乗り物などが〉爆発する；▶ blow up at ～で「～に対してかんかんにおこる」という意味。,He blew up at me just for being a few minutes late.,彼は私がほんの数分遅れただけで、かんしゃくを爆発させた。
pass up,〈機会など〉を逃す、見送る,You should not pass up this great opportunity to study abroad.,この素晴らしい留学の機会を逃すべきではない。
see about doing,～する手配をする,I'll see about booking a flight for our trip next month.,来月の旅行のために、飛行機を予約する手配をします。
branch out,（事業などを）拡大する、手を広げる,The company branched out into the European market last year.,その会社は昨年、ヨーロッパ市場に進出した。
wind up,（意に反して）～することになる、最後には～に至る,Taking the wrong train,we wound up in a completely different city.
relate to ～,～に共感する、～の気持ちがわかる、～に関連している,I can relate to the main character in this novel.,私はこの小説の主人公に共感することができる。
tighten up,〈規則・警備など〉を強化する、厳しくする,The government decided to tighten up security at all airports.,政府はすべての空港で警備を強化することを決定した。
spring up,急に現れる、次々に誕生する,New coffee shops have been springing up all over the city.,新しいコーヒーショップが街の至る所に次々と現れている。
contend with ～,〈問題・困難など〉に取り組む、〈人〉に対処する(≒cope with ～),We must contend with the serious issue of global warming.,私たちは地球温暖化という深刻な問題に取り組まなければなりません。
tune in,〈局・番組などに〉ダイヤル［チャンネル］を合わせる,Tune in next week for the exciting final episode of the drama.,来週、そのドラマのエキサイティングな最終回にチャンネルを合わせてください。
measure up to ～,〈期待・水準など〉に達する,His latest work didn't quite measure up to my expectations.,彼の最新作は私の期待にはあまり達していませんでした。
check up on ～,〈人〉の行動を調べる、様子を見る,I called my grandmother to check up on her health.,私は祖母の健康状態を確かめるために電話をしました。
turn around,好転する、上向く、向きを変える,The company's financial situation is expected to turn around next year.,その会社の財政状況は来年好転すると期待されています。
want for ～,〈必要なもの〉がない、～を欠いている,The wealthy family did not want for anything.,その裕福な家族は何一つ不自由していなかった。
go astray,〈ものが〉行方不明になる、盗まれる,My luggage seems to have gone astray at the airport.,私の荷物は空港で行方不明になったようです。
cross out,～を（線を引いて）消す、リストから外す,Please cross out any items on the list that are incorrect.,リストにある間違っている項目を線で消してください。
mess with ～,～をいじくる、～に手を出す,Don't mess with the settings on this computer,please.
speak for ～,〈人・集団〉の意見［気持ち］を代弁する,As the class president,I speak for all the students.
head off to ～,～に進む、向かう,After breakfast,she headed off to the library to study.
buy out,～の事業［株など］を買い取る,The large corporation bought out its smaller competitor last year.,その大企業は昨年、より小さな競合他社を買い取った。
spell out,～をはっきりと説明する、〈語〉を一字一字書く [言う],The teacher had to spell out the instructions for the students.,先生は生徒たちに指示をはっきりと説明しなければならなかった。
break away from ～,(レースで)(集団)から抜け出す、(政党など)とたもとを分かつ,The cyclist broke away from the main group near the finish line.,その自転車選手はゴールライン近くでメイン集団から抜け出した。
pull in,(列車が)駅に着く、(バスが)バス停に着く,The train we are waiting for is now pulling in.,私たちが待っている電車が、今、駅に入ってきています。
talk A into doing,～するようにAを説得する,My friend talked me into joining the volunteer activity.,友人は私を説得してボランティア活動に参加させた。
count for ～,～の価値がある,In this job,experience counts for more than academic background.
wrestle with ～,〈問題など〉に取り組む、～と格闘する,Scientists are wrestling with the complex problem of climate change.,科学者たちは気候変動という複雑な問題に取り組んでいる。
kick around,〈案・計画など〉についてあれこれ検討する,We've been kicking around some ideas for the school festival.,私たちは学園祭のためのアイデアをあれこれ検討しています。
happen on ～,(もの)を偶然見つける、(人)に出くわす,I happened on a rare book in a small,old bookstore.
give over,～を任せる、委ねる,The management of the project was given over to the new team.,そのプロジェクトの管理は新しいチームに任せられた。
bounce back,(病気・打撃などから)立ち直る、回復する,If she gets enough rest,she will bounce back quickly.
stop up,(パイプなど)を詰まらせる、ふさぐ,The kitchen sink was stopped up with food waste.,台所の流しは食べ物のごみで詰まっていた。
bet on ～,～に賭ける,I bet on our team winning the final match.,私は私たちのチームが決勝戦で勝つことに賭けます。
get around,(老人・病人などが)歩き回る、出歩く,It's harder for my grandfather to get around these days.,私の祖父は最近、歩き回るのが以前より大変です。
fall off,(数量が)減少する；(質などが)低下する,Sales have started to fall off since the new competitor appeared.,新しい競合が現れてから、売上が落ち始めた。
round out,～を（いい形で）締めくくる,We had a fantastic dinner to round out our trip to Kyoto.,私たちは京都旅行を締めくくるために、素晴らしい夕食をとった。
pay off,〈計画・努力などが〉実を結ぶ,All your hard work studying for the exam will surely pay off.,試験のために一生懸命勉強したあなたの努力は、きっと実を結ぶだろう。
go by,通り過ぎる；（時間が）過ぎる(≒pass),Ten years have gone by since I graduated from high school.,私が高校を卒業してから10年が過ぎた。
bear with ～,（人）に我慢してつき合う,Please bear with me while I explain the complex data.,複雑なデータを説明する間、どうか我慢してお付き合いください。
go along with ～,〈人・提案・考えなど〉に同意する、賛同する,I can't go along with your proposal because it is too risky.,リスクが大きすぎるので、あなたの提案には賛成できません。
touch on ～,〈話題など〉に触れる、言及する(≒mention),The professor will touch on the environmental issues in his lecture.,教授は講義で環境問題に触れるだろう。
come before ～,〈人・案件などが〉（審判・検討のため）～に出る、出される,The new bill will come before the committee for discussion next week.,その新しい法案は来週、審議のために委員会に提出される。
phase out,～を段階的に停止[廃止]する,The government plans to phase out plastic bags completely by 2030.,政府は2030年までにビニール袋を段階的に完全に廃止する計画だ。
tune up,〈エンジン・機械など〉を整備する、〈楽器〉を調律する,I need to get my car tuned up before our long road trip.,長いドライブ旅行の前に、車のエンジンを整備してもらう必要がある。
head out,出発する、出かける,It's getting late,so I think we should head out soon.
come off,（言動から）〈～のように〉見える、思える、〈ボタン・柄などが〉取れる、外れる、〈計画などが〉行われる、うまくいく,He may come off as a bit arrogant,but he's actually kind.
put forth,〈計画・説明など〉を示す、提案する、〈努力〉をする、〈力〉を発揮する,She put forth a great deal of effort to complete the project.,彼女はそのプロジェクトを完成させるために、多大な努力を払った。
branch off,枝分かれする、分岐する、〈話などが〉脇道にそれる,Take the main road,and then branch off to the left.
hang around (～),(～を)ぶらつく、うろうろく、(～に)たむろする,"We used to hang around the park after school, doing nothing special.",私たちは放課後、特に何もせず公園をぶらぶらしたものだった。
narrow down,（範囲など）を絞る、狭める,We need to narrow down the possible causes of the problem.,私たちはその問題の考えられる原因を絞り込む必要がある。
spring from ～,～から生じる、～に起因する,His creative ideas often spring from the experiences he had abroad.,彼の創造的なアイデアは、しばしば海外での経験から生まれる。
fill in for ～,（人）の代理を務める,Could you fill in for me at the meeting tomorrow?,明日の会議で私の代理を務めてくれませんか。
adhere to ～,（規則など）を忠実に守る；（考えなど）を信奉する,All participants are supposed to adhere to the rules of the game.,全ての参加者は試合のルールを忠実に守ることになっている。
settle for ～,～に甘んじる、～でよしとする,I won't settle for anything less than the best quality available.,私は手に入る最高品質のものでなければ満足しない。
catch up on ～,（最新情報・人の近況など）を知る、（仕事など）の遅れを取り戻す,I have to catch up on my homework this weekend.,私はこの週末に宿題の遅れを取り戻さなければならない。
get down to ～,（仕事など）に（本腰を入れて）取りかかる,We've talked enough; let's get down to business now.,もう十分話した。さあ、本題に取りかかろう。
put forward,〈意見・案など〉を出す、提案する,A new plan was put forward at the meeting yesterday.,新しい計画が昨日の会議で提案された。
lay down,〈規則など〉を設定する、定める / 〈武器など〉を捨てる,The school has laid down new rules for using smartphones.,学校はスマートフォンの使用に関する新しい規則を定めた。
set in,〈不快な天候・病気などが〉始まる、到来する,Before we reached the shelter,the heavy rain had set in.
fall away,〈感情・音などが〉（徐々に）弱まる、なくなる,His initial enthusiasm for the project began to fall away.,彼のプロジェクトへの当初の熱意は薄れ始めた。
sit by,傍観する、手をこまねいている,We cannot just sit by while our environment is being destroyed.,環境が破壊されているのをただ傍観することはできない。
eat up,〈時間・財産など〉を食い尽くす / ～を食べ尽くす,Playing games on my smartphone eats up a lot of my study time.,スマホでゲームをすると、私の勉強時間をたくさん食ってしまう。
burn off,〈カロリーなど〉を燃やす、消費する,I go running every morning to burn off extra calories.,私は余分なカロリーを消費するために毎朝ランニングをします。
cling to ～,～にしがみつく,"Even though the situation was difficult, she clung to the hope of success.",状況は困難だったが、彼女は成功への希望にしがみついた。
pull off,〈困難なこと〉を苦労して成し遂げる、(一時停車のため)〈道〉からそれる、外れる,The team pulled off a victory that nobody had expected.,そのチームは誰も予期していなかった勝利を見事に成し遂げた。
go at ～,～に取り組む,He went at the difficult task as if his life depended on it.,彼はまるで命が懸かっているかのように、その困難な仕事に取り組んだ。
get at ～,～をほのめかす、暗に言う(≒suggest)、～に近づく、達する,I couldn't understand what the professor was trying to get at.,私は教授が何を言おうとしているのか理解できなかった。
come through,(必要なもの・求められたものを)提供する、期待に応える、(病気・危機など)を切り抜ける,Although the situation was tough,he came through for the team.
turn out,〈多くの人が〉出かける、集まる、結局(～と)なる、(～と)判明する,A large crowd turned out for the free concert in the park.,公園での無料コンサートには大勢の人が集まった。
be drawn into ～,～に巻き込まれる,I didn't want to be drawn into their argument about politics.,私は彼らの政治に関する議論に巻き込まれたくなかった。
