word,meaning,example,translation
scheme,（名）①陰謀 ②事業計画 （動）（陰謀など）を企てる,The government has a new scheme to help the unemployed.,政府には失業者を助けるための新しい計画がある。
closure,（名）閉鎖、閉店,The factory closure left many people without jobs.,その工場の閉鎖は、多くの人々を失業させた。
retain,（動）〜を保つ、保持する,This material can retain heat for a long time.,この素材は長時間熱を保つことができる。
cautious,（形）用心深い、慎重な,You should be more cautious when investing your money.,お金を投資する際は、もっと慎重になるべきだ。
viable,（形）実行可能な、成功の見込める,Solar power is a viable alternative to fossil fuels.,太陽光発電は化石燃料に代わる実行可能な選択肢だ。
terrain,（名）地形、地勢、土地,The rough terrain made it difficult to build the road.,その険しい地形で道路を建設するのは困難だった。
toll,（名）①犠牲、死傷者数 ②通行料、使用料,The earthquake took a heavy toll on the local community.,その地震は地域社会に大きな犠牲をもたらした。
agenda,（名）議題、議題一覧,What is the first item on today's agenda?,今日の最初の議題は何ですか？
desperate,（形）①切望する ②必死の、死に物狂いの,The refugees were desperate for food and water.,難民たちは食料と水を切望していた。
hatch,（動）①（ひな・卵が）ふ化する；（ひな・卵）をふ化させる ②（陰謀など）を企てる,The baby turtles hatched from their eggs on the beach.,子ガメたちは浜辺で卵からふ化した。
surveillance,（名）（容疑者・囚人などの）監視、見張り,The suspect was placed under police surveillance.,その容疑者は警察の監視下に置かれた。
colonize,（動）①〜を植民地化する ②（生物が）〜にコロニーを作る,Mars might be colonized by humans in the future.,将来、火星は人類によって植民地化されるかもしれない。
confidential,（形）（情報が）機密の、マル秘の,All information you provide will be kept strictly confidential.,ご提供いただくすべての情報は厳重に機密扱いされます。
breakup,（名）（関係などの）解消、破局,The breakup of the famous band shocked their fans.,その有名バンドの解散はファンに衝撃を与えた。
corridor,（名）（建物・列車などの）廊下、通路,Students are not allowed to run in the corridor.,生徒は廊下を走ることを許可されていない。
utility,（名）①（電気・ガス・水道などの）公共事業；公共料金 ②有用性 （形）多用途の,My monthly utility bills are higher in winter.,私の毎月の公共料金は冬の方が高い。
specimen,（名）標本、サンプル,A blood specimen was taken for further analysis.,さらなる分析のために血液サンプルが採取された。
input,（名）①情報［アイデア、アドバイス］の提供 ②入力,We need more input from everyone on this project.,このプロジェクトには、皆さんからもっと多くの意見が必要です。
infamous,（形）悪名高い,The pirate was infamous for his cruelty.,その海賊は冷酷さで悪名高かった。
publicity,（名）①注目、評判 ②広告、宣伝,The new movie received a lot of publicity before its release.,その新しい映画は公開前に多くの宣伝がなされた。
currency,（名）通貨,You should exchange your money for the local currency at the airport.,空港で現地通貨にお金を両替すべきです。
undermine,（動）（自信・権威など）をひそかに傷つける、（健康など）をむしばむ,Lack of sleep can seriously undermine your health and concentration.,睡眠不足はあなたの健康と集中力を著しく損なう可能性がある。
sweep,（動）①（嵐・疫病などが）激しい勢いで襲来する、広がる ②（床など）を掃く,A new fashion trend is sweeping across the country.,新しいファッションの流行が国中に広まっている。
horizontal,（形）水平の,The artist drew a perfect horizontal line without using a ruler.,その芸術家は定規を使わずに完璧な水平線を描いた。
torture,（名）①拷問 ②苦痛 （動）〜を拷問する,Waiting for the exam results was absolute torture for him.,試験結果を待つことは、彼にとってまったくの苦痛だった。
descent,（名）①血統、家系 ②下ること、降下,The plane began its final descent into the airport.,飛行機は空港への最終降下を開始した。
alienate,（動）〜を遠ざける、疎外する,His rude comments alienated many of his friends.,彼の無礼なコメントは、多くの友人を彼から遠ざけた。
submerge,（動）〜を水没させる；水没する,The heavy rain caused the coastal town to submerge completely.,豪雨により、その沿岸の町は完全に水没した。
errand,（名）使い、使い走り,I have to run a few errands for my mother this afternoon.,今日の午後、母のためにいくつかお使いに行かなければならない。
commodity,（名）①商品、売買品 ②有用なもの,"In some regions, clean water is a very precious commodity.",地域によっては、きれいな水は非常に貴重なものである。
outburst,（名）（感情の）爆発,Everyone was surprised by her sudden outburst of anger.,彼女の突然の怒りの爆発に誰もが驚いた。
comparable,（形）匹敵する、似通った,The quality of this product is comparable to that of more expensive ones.,この製品の品質は、もっと高価な製品の品質に匹敵する。
compile,（動）（情報など）をまとめる、編集する,She compiled a list of useful websites for the project.,彼女はそのプロジェクトのために役立つウェブサイトのリストをまとめた。
inception,（名）（組織などの）発足、開始,The company has grown rapidly since its inception in 2010.,その会社は2010年の設立以来、急速に成長してきた。
aquatic,（形）水生の、水中に住む,We studied various aquatic plants living in the pond.,私たちは池に生息している様々な水生植物を研究した。
grind,（動）（穀物・コーヒー豆など）をひく,I like to grind my own coffee beans every morning.,私は毎朝自分でコーヒー豆をひくのが好きだ。
upheaval,（名）大変動、激変,The country experienced a period of great political upheaval.,その国は大きな政治的変動の時期を経験した。
feast,（名）祝宴、宴会,A magnificent feast was held to celebrate the victory.,勝利を祝うために壮大な祝宴が催された。
scope,（名）範囲、領域,The scope of this research is limited to high school students.,この調査の範囲は高校生に限定されている。
burden,（名）①負担、（精神的な）重荷 ②荷物,Caring for elderly parents can be a heavy financial burden.,年老いた両親の介護は、重い経済的負担になり得る。
cram,（動）①〜を詰め込む ②詰め込み勉強をする,He had to cram for the final exam all night long.,彼は期末試験のために一晩中詰め込み勉強をしなければならなかった。
assault,（動）（人）を襲う、暴行する （名）暴行,The man was arrested for assault after the fight.,その男は喧嘩の後、暴行の容疑で逮捕された。
acoustic,（形）音の、音響の,The concert hall is famous for its excellent acoustic properties.,そのコンサートホールは、その優れた音響特性で有名だ。
enact,（動）（法律など）を制定する,The government is expected to enact a new environmental law.,政府は新しい環境法を制定することが期待されている。
contend,（動）…と強く主張する,Some scientists contend that climate change is irreversible.,気候変動は元に戻せないと強く主張する科学者もいる。
rubbish,（名）ごみ,The rubbish collected from the park was more than we expected.,公園から集められたごみは、私たちが予想していたよりも多かった。
projection,（名）予測、見積もり,"According to the projection, our sales will double next year.",その予測によれば、来年私たちの売り上げは2倍になるだろう。
generosity,（名）気前のよさ、寛大さ,"If it were not for his generosity, we couldn't have succeeded.",もし彼の寛大さがなかったら、私たちは成功できなかっただろう。
