word,meaning
plantation,（名）①（熱帯地方の）大農園、大農場 ②植林地、造林地
outbreak,（名）（伝染病・戦争などの）発生、勃発
arise,（動）①（問題が）生じる ②（状況が）発生する
investigation,（名）取り調べ、調査
fluid,（名）①液体、流動体 ②分泌液
checkup,（名）健康診断
permanently,（副）永久に、永続的に
debt,（名）負債、借金
equality,（名）平等
moisture,（名）水分、湿気
multiple,（形）多数の、複数の
workforce,（名）①（国・地域の）労働力、労働人口 ②全従業員
intensive,（形）集中的な
define,（動）①〜を定義する ②〜を明確にする、はっきりさせる
vegetation,（名）（ある地域に生育する）植物、植生
fame,（名）名声
row,（名）列、並び
urge,（動）〜に強く勧める
implement,（動）（計画・政策など）を実行する、履行する
due,（形）（支払い・提出などが）期限の来た
behavioral,（形）行動の、行動に関する
leverage,（名）①影響力、効力 ②てこの力
bargain,（名）格安品、掘り出し物
populate,（動）（場所）に居住する、生息する
incredible,（形）①信じられない（ほどの）、信じがたい ②素晴らしい、最高の
infant,（名）幼児、乳児
overly,（副）過度に、あまりにも
premium,（形）高級な、高品質の
voucher,（名）（商品・サービスなどの）引換券、クーポン
well-being,（名）幸福、健康
significance,（名）①意義、意味 ②重要性
approximately,（副）およそ、約
routine,（形）決まりきった、いつもの
burial,（名）埋葬、（埋葬による）葬儀
likewise,（副）①同様に ②そのうえ、また
pedestrian,（名）歩行者
bully,（動）〜をいじめる
strand,（名）（ひも・ロープなどを構成する）糸、繊維
knowledgeable,（形）精通した、熟知した；博識な
legislation,（名）法律、立法
climatic,（形）気候（上）の、風土的な
sewage,（名）下水、汚水
makeup,（名）①構造、構成 ②追試、再試験
justify,（動）〜を正当化する、弁明する
curious,（形）好奇心の強い、せんさく好きな
cuisine,（名）（特定の地域・文化の）料理
accomplishment,（名）業績、成果
welfare,（名）①福祉 ②生活保護
revive,（動）①〜を蘇生させる、生き返らせる ②（制度・活動・計画など）を復活させる
overtake,（動）①（性能・数量などで）〜に勝る、〜を上回る ②〜を追い抜く
counterpart,（名）同等物、よく似た人［もの］
retail,（形）小売りの
tip,（名）先端、（島の）突端
capability,（名）能力、性能
livelihood,（名）生計、生活手段；暮らし
workout,（名）練習、運動、（スポーツの）トレーニング
questionable,（形）①疑わしい、疑問の余地がある ②いかがわしい
straightforward,（形）わかりやすい、簡単な
indigenous,（形）（ある土地に）固有の、先住の
fortune,（名）①大金、財産 ②運、幸運
modernization,（名）近代化、現代化
profession,（名）職業、専門職
roam,（動）（〜を）歩き回る、放浪する
fancy,（形）①高級な、豪華な ②装飾の多い、派手な
dairy,（形）乳製品の
lawsuit,（名）（民事）訴訟
fake,（形）偽の、偽造の
recipient,（名）受け手、受益者
definitely,（副）確かに、間違いなく
slavery,（名）奴隷制度
stability,（名）安定
chronic,（形）（病気が）慢性の
clinical,（形）臨床の
outstanding,（形）傑出した、特にすぐれた
faith,（名）①宗教、信仰 ②信頼、信用
bond,（名）①きずな、結びつき ②（化学）結合
kidnap,（動）（人）を誘拐する
allowance,（名）①（子どもの）小遣い ②（定期的に支給される）手当て
province,（名）（カナダなどの）州、（中国の）省
loyalty,（名）誠実、忠誠（心）
noticeable,（形）目立つ、顕著な
sector,（名）（事業・産業の）部門、分野
