word,meaning
abort,（動）①（計画など）を中止する ②（妊娠）を中絶する
pretext,（名）口実、言い訳
recurrent,（形）繰り返し起こる、再発する
folklore,（名）民間伝承、伝説
installment,（名）（分割払いの）1回分の支払い
amendment,（名）（法律・規則などの）改正、修正
conceited,（形）うぬぼれた
intoxicated,（形）酔っ払った
supernatural,（形）超自然の、不可思議な
deception,（名）だますこと、欺くこと
drastic,（形）①（変化などが）急激な ②（手段などが）抜本的な、思い切った
inherent,（形）本来備わっている、生まれつきの
ballot,（名）①（無記名）投票 ②投票用紙
plea,（名）嘆願、請願
loathe,（動）〜をひどく嫌う
secluded,（形）（場所が）人目につかない、人里離れた
herald,（動）〜の先触れをする、到来を告げる
paranoid,（形）被害［誇大］妄想の
shortfall,（名）不足、未達
integrity,（名）正直さ、誠実さ
fanatical,（形）熱狂的な、狂信的な
defy,（動）〜に反抗する、従わない
arc,（名）弧、弓形
debatable,（形）議論の余地のある
rapidity,（名）迅速さ、素早さ
crumble,（動）粉々になる、砕ける
pending,（形）保留の、懸案の
embark,（動）①始める、乗り出す ②乗船する、搭乗する
overpower,（動）①（相手）を（力で）押さえ込む ②（匂い・感情などが）（人）を圧倒する
breach,（名）（法律・約束などの）違反
improper,（形）不適切な、ふさわしくない
